solvent1,solvent2,GE_RT_x05,gamma1_inf,gamma2_inf
Diethyl ether,Ethyl acetate,0.0565873406189572,1.2357214746769891,1.2738032573857685
Diethyl ether,Methyl acetate,0.097980517966064,1.4783771490576745,1.477237891775372
Diethyl ether,Water,0.5475912899625581,167.11157741418302,10.382182295098454
Dioxane,Acetic acid,-0.671643750241464,0.0738510812754765,0.0966841410343027
Dioxane,Ethyl acetate,0.0077711776106643,1.0309936392105277,1.0319437614277938
Dioxane,Methyl acetate,0.0027219888115985,1.011559368326134,1.010358596079177
Dioxane,Water,0.1368020588298009,2.3349080413698604,4.546541312045456
Ethanol,1-Butanol,0.0091619747915896,1.0312086467647592,1.0456386364322503
Ethanol,1-Hexanol,0.0231457944394487,1.0733841290934891,1.1401506867043416
Ethanol,1-Octanol,0.0369777025118285,1.1126307094075876,1.2677015332402342
Ethanol,2-Propanol,0.0058529148537276,1.021905654911344,1.0257116704138842
Ethanol,Acetic acid,-0.3835883059632413,0.2545105162359211,0.2346420526499778
Ethanol,Acetone,0.0923035265163912,1.843321424457032,1.2714325557425592
Ethanol,Acetonitrile,0.3098213189081791,5.131999619546935,3.2396132320316235
Ethanol,Carbon tetrachloride,0.4881006230125524,82.27445904028855,5.654872020576951
Ethanol,Chloroform,-0.663080561177726,0.1721545773364249,0.0900133426553608
Ethanol,DMF,-0.1916118060772686,0.5585048252186501,0.3057930554664568
Ethanol,DMSO,-0.5399976185300218,0.2102312575639718,0.0384455805804858
Ethanol,Dichloromethane,-0.1308005936488508,2.554735986858757,0.3445828725218228
Ethanol,Diethyl ether,0.1183468551808066,1.780743540473472,1.5907952515804022
Ethanol,Dioxane,0.0364536890994761,1.367296445515636,0.9896769100917592
Ethanol,Ethyl acetate,0.1826004470781103,3.050836310215609,1.8474338841148512
Ethanol,Methyl acetate,0.1977275889329128,3.417375923856106,1.96186273869902
Ethanol,NMP,-0.3179430393675589,0.3753006052824034,0.1541047685818443
Ethanol,Propanol,0.0028094214625539,1.0100815954705031,1.012694951481879
Ethanol,THF,-0.0846285439358943,0.715909337093398,0.7137020357626617
Ethanol,Water,0.2178900579245228,6.500023002055557,1.7496622606716865
Ethyl acetate,Acetic acid,-0.1639753655825032,0.5879847365227203,0.4592464103989508
Ethyl acetate,Methyl acetate,0.0041660930214995,1.018237752283056,1.015485176793045
Ethyl acetate,Water,0.5823967677740529,28.780804896752997,41.49176434814388
Ethylbenzene,1-Butanol,0.3568464223981176,3.2000706127468668,35.02870948920381
Ethylbenzene,1-Hexanol,0.2983668514196771,2.464243404747823,28.34005765261785
