MAE_ln_gamma1,MAE_ln_gamma2,MAE_GE_RT,RMSE_ln_gamma1,RMSE_ln_gamma2,RMSE_GE_RT,bias_GE_RT,max_abs_GE_RT_ct,n_points,solvent1,solvent2,T_K,class1,class2,class_pair,lle_found_ct,lle_x1_phase1,lle_x1_phase2
0.10116678376002235,0.09867389777985137,0.053998352631571794,0.12820257067366583,0.1369894107555031,0.057785717936553835,0.053998352631571794,0.38938540149995393,19,Pentane,Methyl acetate,298.15,Alkane,Ester,Alkane + Ester,False,,
0.09061897718165075,0.08876643795348138,0.048456929523682295,0.11562019336471469,0.12221730980934205,0.051846107196663396,0.048456929523682295,0.3497607461998776,19,Pentane,Methyl acetate,323.15,Alkane,Ester,Alkane + Ester,False,,
0.08148241238593674,0.08010311779034997,0.04363973717667884,0.1045771685441825,0.109525244947748,0.04668614411109635,0.04363973717667884,0.3153980690792016,19,Pentane,Methyl acetate,348.15,Alkane,Ester,Alkane + Ester,False,,
0.07355297777038748,0.0725269820109149,0.03944604956298453,0.0948865488082225,0.09858416025265883,0.042196219823061494,0.03944604956298453,0.28549148137172764,19,Pentane,Methyl acetate,373.15,Alkane,Ester,Alkane + Ester,False,,
0.06665594357121492,0.06589580528804549,0.035789338278409404,0.08637600141328118,0.0891209094654664,0.03828239899856859,0.035789338278409404,0.2593632614778407,19,Pentane,Methyl acetate,398.15,Alkane,Ester,Alkane + Ester,False,,
0.05165420316276039,0.05644961251655285,0.026823882376850405,0.07018425586184764,0.07403656499947807,0.029520281130087173,0.026823882376850405,0.8486248106181817,19,Pentane,Acetic acid,298.15,Alkane,Acid,Acid + Alkane,True,0.0527262,0.99612186
0.038367386980961114,0.04257948307298602,0.018785381169231036,0.05309069891306512,0.05421873596133074,0.021072133545603944,0.01831274490948363,0.7879189325239089,19,Pentane,Acetic acid,323.15,Alkane,Acid,Acid + Alkane,True,0.07063095,0.98821646
0.027453214504148418,0.0297823653462631,0.012038429837484132,0.03721054643733074,0.03742018232484317,0.013479266925818715,0.010111865317881705,0.7282360891963663,19,Pentane,Acetic acid,348.15,Alkane,Acid,Acid + Alkane,True,0.09599584,0.9701629
0.02015477842936163,0.02248406332328685,0.007743392566573187,0.024856439627708442,0.02928552569766818,0.008432942439743088,0.003053266019675684,0.6710841902442519,19,Pentane,Acetic acid,373.15,Alkane,Acid,Acid + Alkane,True,0.13324348,0.93409279
0.01638264855869134,0.01882093379817718,0.006229138759885809,0.018304235653308364,0.030045602488350996,0.007467446277764258,-0.002196888760879723,0.6165222943940226,19,Pentane,Acetic acid,398.15,Alkane,Acid,Acid + Alkane,True,0.19125739,0.86725533
0.5513297053289848,0.48143077445227805,0.2782160007239874,0.6507255322747402,0.7354200413624343,0.3013824388542832,-0.2782160007239874,1.303235148703252,19,Pentane,Water,298.15,Alkane,Water,Alkane + Water,True,2.3809,0.99879791
0.5392715718407743,0.470797115738851,0.2709891834291671,0.6364140166331806,0.7195515374155748,0.2940717900147392,-0.2709891834291671,1.2431421913399885,19,Pentane,Water,323.15,Alkane,Water,Alkane + Water,True,3.2581,0.99624138
0.5299205939564,0.4633744884810116,0.265639678560673,0.62586841255,0.707999514592724,0.28857164665183527,-0.265639678560673,1.1775354403468685,19,Pentane,Water,348.15,Alkane,Water,Alkane + Water,True,4.7171,0.99043544
0.5209626695543177,0.45749974726136317,0.2608842652547883,0.6165124734014581,0.6980121028660426,0.28356685904179657,-0.2608842652547883,1.1076180326671983,19,Pentane,Water,373.15,Alkane,Water,Alkane + Water,True,7.1535,0.97947495
0.5096608516814582,0.450719463945986,0.25519086382458556,0.6051703228008214,0.6855840765857802,0.2774851284045041,-0.25519086382458556,1.0355047486075168,19,Pentane,Water,398.15,Alkane,Water,Alkane + Water,True,0.00011191,0.96173772
0.0012087722133632254,0.0012016166758713725,0.0006507072461151243,0.0015805265330023437,0.0016092770348411652,0.0006960130578959721,0.0006507072461151243,0.0009152301182313767,19,Hexane,Heptane,298.15,Alkane,Alkane,Alkane + Alkane,False,,
0.0011951691661499946,0.0011881428163728332,0.0006433969133854656,0.0015628569168084966,0.0015911039452483253,0.0006881930415820756,0.0006433969133854656,0.0009256344169526259,19,Hexane,Heptane,323.15,Alkane,Alkane,Alkane + Alkane,False,,
0.001183485503562413,0.001176567002173698,0.0006371159710590835,0.0015476797081779847,0.0015754898531231824,0.0006814757812135588,0.0006371159710590835,0.0009345589433341583,19,Hexane,Heptane,348.15,Alkane,Alkane,Alkane + Alkane,False,,
0.001173385140708248,0.0011665627933759191,0.0006316898572302356,0.001534560422215708,0.001561994350628461,0.0006756713309992053,0.0006316898572302356,0.0009422876334056905,19,Hexane,Heptane,373.15,Alkane,Alkane,Alkane + Alkane,False,,
0.0011646116054503184,0.0011578696046392273,0.0006269752385159651,0.0015231639585947866,0.0015502688421006013,0.0006706287435470422,0.0006269752385159651,0.0009489951925277403,19,Hexane,Heptane,398.15,Alkane,Alkane,Alkane + Alkane,False,,
0.004460350948231835,0.00440940855023608,0.002395080464455106,0.005769630402220399,0.005974744667191873,0.002561946660490278,0.002395080464455106,0.0033022952829395162,19,Hexane,Octane,298.15,Alkane,Alkane,Alkane + Alkane,False,,
0.00441721643548787,0.0043670316148082325,0.0023719805641834956,0.005714497441398142,0.005916556108880523,0.002537237804286215,0.0023719805641834956,0.003335108720316397,19,Hexane,Octane,323.15,Alkane,Alkane,Alkane + Alkane,False,,
0.0043801395532458735,0.00433060970378152,0.0023521262979279076,0.005667109106333778,0.005866540384225348,0.002515999037070557,0.0023521262979279076,0.003363325247450784,19,Hexane,Octane,348.15,Alkane,Alkane,Alkane + Alkane,False,,
0.004348074516434923,0.0042991092761597224,0.0023349566297896714,0.005626127731467393,0.005823282139426559,0.0024976323301544585,0.0023349566297896714,0.003387720461588549,19,Hexane,Octane,373.15,Alkane,Alkane,Alkane + Alkane,False,,
0.004320210648959065,0.004271735915821067,0.0023200370328761016,0.005590517434857342,0.0057856906871051345,0.002481673273598213,0.0023200370328761016,0.003408925715493267,19,Hexane,Octane,398.15,Alkane,Alkane,Alkane + Alkane,False,,
0.014734951334025581,0.014427321035955573,0.007880711718111269,0.018726543930671986,0.019955720068705777,0.008430880564769996,0.007880711718111269,0.010780455379605713,19,Hexane,Decane,298.15,Alkane,Alkane,Alkane + Alkane,False,,
0.014606198112400557,0.014302717097276998,0.007812155397192271,0.018566270246126237,0.019779006678125866,0.0083575304063737,0.007812155397192271,0.01087840758474215,19,Hexane,Decane,323.15,Alkane,Alkane,Alkane + Alkane,False,,
0.0144955799454255,0.014195668319265891,0.007753260344356551,0.01842858153191928,0.019627177190971862,0.008294517164430871,0.007753260344356551,0.010962552443383032,19,Hexane,Decane,348.15,Alkane,Alkane,Alkane + Alkane,False,,
